Small Unit Installation Postcode,Previous Years (2001-2015) - Installations Quantity,Previous Years (2001-2015) - SGU Rated Output In kW,Jan 2016 - Installations Quantity,Jan 2016 - SGU Rated Output In kW,Feb 2016 - Installations Quantity,Feb 2016 - SGU Rated Output In kW,Mar 2016 - Installations Quantity,Mar 2016 - SGU Rated Output In kW,Apr 2016 - Installations Quantity,Apr 2016 - SGU Rated Output In kW,May 2016 - Installations Quantity,May 2016 - SGU Rated Output In kW,Jun 2016 - Installations Quantity,Jun 2016 - SGU Rated Output In kW,Jul 2016 - Installations Quantity,Jul 2016 - SGU Rated Output In kW,Aug 2016 - Installations Quantity,Aug 2016 - SGU Rated Output In kW,Sep 2016 - Installations Quantity,Sep 2016 - SGU Rated Output In kW,Oct 2016 - Installations Quantity,Oct 2016 - SGU Rated Output In kW,Nov 2016 - Installations Quantity,Nov 2016 - SGU Rated Output In kW,Dec 2016 - Installations Quantity,Dec 2016 - SGU Rated Output In kW,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2605,513,"1,519.91",1,3,0,0,2,7.71,1,99.84,1,5.04,6,23.12,3,12.2,3,15.6,4,18.72,4,14.85,2,10.14,2,15.08,5,18.68,2,10.24,6,41.4,10,56.175,4,22.67,8,49.54,5,29.55,2,9.3,6,31.68,6,33.58,5,30.03,1,3.48,602,2081.533
2606,374,"1,242.88",0,0,5,136,2,103.36,0,0,2,9.29,5,45.3,1,2.08,3,14.3,4,24.8,3,21.37,3,13.32,0,0,0,0,1,5.88,1,5.1,1,5.04,3,16.824,1,3.92,1,1.62,5,28.725,5,26.39,4,23.287,3,16.04,0,0,427,1745.53
2607,656,"2,103.64",3,16.95,3,12.69,3,9.66,1,4.16,2,5.66,3,29.45,5,19.54,3,14.36,5,25.305,2,12.22,2,9.215,0,0,1,3.36,0,0,5,29.48,5,44.62,5,28.76,4,28.02,3,15.555,5,22.68,8,48.87,4,22.86,6,43.18,2,9.78,736,2560.017
2609,31,480.588,0,0,0,0,0,0,0,0,2,5.14,6,96.76,1,5.2,2,16.2,0,0,0,0,0,0,2,55.96,1,3.12,3,18.46,3,50.44,0,0,2,24.225,0,0,0,0,1,29.97,3,57.9,0,0,0,0,0,0,57,843.963
2611,"1,412","4,431.29",3,11.7,14,66.7,6,25.34,8,41.225,13,61.135,9,100.725,7,33.74,10,44.765,8,37.75,9,38.11,14,56.87,12,171.3,7,38.365,17,75.62,20,99.885,10,100.34,12,78.872,13,75.76,14,128.785,15,77.96,17,82.638,14,72.09,8,39.79,7,36.765,1679,6027.52
2612,248,834.175,2,5.86,0,0,0,0,0,0,2,4,1,5.3,2,14.17,1,6.24,5,25.04,4,21.745,1,5.76,2,15.53,3,21.404,2,9.9,2,10.64,1,5.12,3,18.91,2,8.48,1,7.59,1,2.9,0,0,4,24.77,0,0,1,5.2,288,1052.734
2614,986,"2,856.29",4,18.55,6,22.8,5,23.7,7,84.24,7,30.18,3,15.57,8,40.68,2,7.28,6,129.69,7,46.12,2,9.59,4,23.12,6,31.48,8,38.487,8,39.595,6,25.359,6,30.5,5,20.245,7,41.93,7,32.43,20,124.07,10,65.965,8,39.214,3,12.65,1141,3809.737
2615,"2,068","5,867.25",10,48.512,6,23.48,8,39.155,8,128.18,10,46.185,8,38.55,9,43.86,8,38.375,3,16.2,10,55.8,8,37.32,7,37.63,8,41.2,11,56.38,14,74.84,13,70.56,6,27.11,13,67.872,23,123.78,22,115.378,27,119.51,18,97.23,22,119.807,2,8.81,2342,7342.969
2616,5,44.12,0,0,0,0,0,0,0,0,1,3.12,1,3.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,50.945
2617,"1,311","3,945.60",6,27.195,8,70.99,2,9.46,4,13.485,4,15.03,4,20.195,4,20.8,10,46.78,5,25.97,6,28.31,7,40.13,6,32.24,6,29.845,5,26.44,11,80.385,7,37.23,13,68.48,8,40.782,9,67.105,13,74.43,7,43.64,7,39.833,9,55.153,3,15.44,1475,4874.946
2618,111,663.917,0,0,0,0,0,0,0,0,0,0,1,6.12,4,24.18,0,0,1,0.8,1,7.68,2,11.56,1,16.64,2,13.52,2,14.04,3,17.03,2,14.724,0,0,0,0,1,19.8,0,0,1,10.62,3,20.82,2,9.45,1,3.924,138,854.825
2619,350,"1,235.62",6,25.875,4,17.515,5,33.515,1,4.94,0,0,2,13.78,3,15.84,5,22.93,4,21.5,2,7.59,4,17.42,2,10.4,0,0,2,10.52,3,21.95,3,15.34,5,49.695,6,77.921,7,85.24,6,27.05,6,39.04,11,61.625,5,27.32,0,0,442,1842.627
2620,"1,739","8,027.57",16,71.9,17,77.51,15,143.04,13,119.67,8,38.995,14,87.48,22,130.965,24,156.02,18,166.285,27,162.34,26,190.547,26,166.637,10,63.98,30,214.6,22,158.189,18,94.385,24,262.585,21,212.638,26,251.252,30,283.269,19,126.095,25,128.075,23,138.075,4,35.01,2217,11507.107
2621,493,"1,994.44",3,15.36,7,43.45,5,23.12,5,19.32,2,8.12,3,12.315,1,5,6,43.55,3,15.85,3,13.52,4,21.38,8,53.96,6,30.15,6,31.764,5,30.48,4,31.47,4,22.632,14,92.065,6,32.39,4,17.22,9,54.04,5,36.93,7,56.755,1,4.8,614,2710.076
2622,390,"1,203.25",1,3,2,6.08,5,50.8,5,19.76,2,10.1,3,18.52,3,10.87,1,3.12,4,56.56,3,10.775,5,26.05,5,20.12,1,5.2,3,12.52,4,13.22,5,32.5,7,32.405,2,5.12,2,15.78,8,29.67,3,11.82,4,28.45,2,12.84,0,0,470,1638.527
2623,31,83.745,0,0,0,0,1,3.18,0,0,0,0,0,0,0,0,1,5.46,0,0,0,0,0,0,0,0,1,6.76,0,0,1,3.12,2,9.15,0,0,0,0,0,0,1,3.78,0,0,0,0,1,3.3,0,0,39,118.495
2624,2,15.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.15
2625,3,10.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10.43
2626,32,93.285,2,9.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,6.21,0,0,1,5.88,1,3.24,0,0,0,0,0,0,0,0,0,0,0,0,38,120.495
2627,240,933.702,8,32.38,4,21.32,2,7.14,0,0,3,10.85,0,0,2,14.9,3,13.46,1,11.44,1,6.63,2,20.58,3,17.58,2,5.97,0,0,1,5.4,3,16.872,4,18.56,0,0,0,0,2,7.16,3,14.9,1,10.8,3,16.275,1,15,289,1200.919
2628,127,510.63,2,6,1,3,0,0,2,10.04,1,20.52,1,3.12,2,40,1,5,1,4.08,0,0,2,7.02,1,3.12,1,5.5,0,0,1,5.98,1,10.4,2,9.6,0,0,1,5.4,1,5.4,0,0,2,21.06,0,0,2,11.49,152,687.36
2629,26,109.3,1,5.5,0,0,1,5.3,0,0,1,2.25,0,0,0,0,0,0,0,0,0,0,2,5.36,2,12.64,1,4.845,1,3,0,0,0,0,0,0,0,0,1,6.05,0,0,0,0,0,0,1,3.12,1,6.05,38,163.415
