Small Unit Installation Postcode,Previous Years (2001-2015) - Installations Quantity,Previous Years (2001-2015) - SGU Rated Output In kW,Jan 2016 - Installations Quantity,Jan 2016 - SGU Rated Output In kW,Feb 2016 - Installations Quantity,Feb 2016 - SGU Rated Output In kW,Mar 2016 - Installations Quantity,Mar 2016 - SGU Rated Output In kW,Apr 2016 - Installations Quantity,Apr 2016 - SGU Rated Output In kW,May 2016 - Installations Quantity,May 2016 - SGU Rated Output In kW,Jun 2016 - Installations Quantity,Jun 2016 - SGU Rated Output In kW,Jul 2016 - Installations Quantity,Jul 2016 - SGU Rated Output In kW,Aug 2016 - Installations Quantity,Aug 2016 - SGU Rated Output In kW,Sep 2016 - Installations Quantity,Sep 2016 - SGU Rated Output In kW,Oct 2016 - Installations Quantity,Oct 2016 - SGU Rated Output In kW,Nov 2016 - Installations Quantity,Nov 2016 - SGU Rated Output In kW,Dec 2016 - Installations Quantity,Dec 2016 - SGU Rated Output In kW,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0,4,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.46
200,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08
800,33,320.87,0,0,2,44.04,1,60.48,0,0,0,0,0,0,0,0,0,0,0,0,2,69.63,0,0,1,33.92,0,0,0,0,0,0,1,85.26,0,0,0,0,1,99.18,2,91.18,1,6.27,0,0,0,0,0,0,44,810.83
801,4,11.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.84,0,0,0,0,0,0,0,0,0,0,6,103.008
803,1,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.565,0,0,0,0,0,0,2,11.685
804,11,42.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,47.225
810,831,"3,482.17",10,49.55,6,27.365,10,46.37,26,214.45,35,350.225,44,201.94,26,224.94,40,188.44,48,314.655,40,181.783,55,246.838,26,147.05,16,76.167,10,41.156,27,128.935,20,96.561,36,245.724,44,324.435,48,293.052,50,278.139,22,129.972,41,328.735,34,222.244,4,23.095,1549,7863.986
811,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
812,453,"1,805.30",2,9.09,7,72.77,9,39.995,9,134.255,7,33.73,17,76.66,8,37.25,9,39.67,18,109.425,18,81.645,12,54.436,10,44.88,8,35.368,8,36.538,6,27.586,6,122.65,18,86.976,19,132.173,24,129.879,24,137.998,19,109.15,23,230.273,20,138.03,7,59.01,761,3784.738
813,5,75.949,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,78.949
814,3,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.06
820,194,"1,752.80",3,57.68,7,129.055,2,10.595,5,28.74,6,54.205,15,296.59,9,137.85,10,45.4,9,64.24,6,28.805,9,135.687,9,110.82,6,106.48,3,26.02,6,122.268,10,47.211,13,315.14,14,251.555,8,47.064,9,46.885,6,37.976,22,280.568,12,78.341,3,19.14,396,4231.11
821,3,26.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,104.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,131.053
822,185,"1,393.37",3,21.62,8,144.09,11,159.03,6,34.86,6,83.88,4,23.76,5,29.26,10,170.4,9,96.06,8,109.635,6,34.57,6,156.868,4,23.58,3,17.85,9,76.881,5,26.92,8,169.43,12,105.865,7,247.03,13,105.266,7,123.41,9,137.93,8,55.03,5,68.918,357,3615.509
828,26,482.08,0,0,0,0,3,18.19,0,0,0,0,0,0,1,5.98,2,9.01,7,90.065,3,23.29,5,22.525,4,106.75,0,0,0,0,1,5.94,8,82.38,2,10.476,3,18.67,0,0,6,69.61,3,62.87,4,28.995,1,9.12,0,0,79,1045.951
829,4,19.45,0,0,0,0,1,59.89,0,0,2,55.745,0,0,0,0,0,0,0,0,1,10.14,4,75.815,0,0,0,0,0,0,0,0,0,0,1,99.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,320.8
830,487,"2,106.98",3,12.215,6,27.31,7,30.1,6,25.285,23,98.615,12,55.85,15,70.745,23,104.66,24,107.04,23,101.11,13,56.145,11,169.234,7,32.11,5,19.988,4,18.41,8,39.415,16,76.144,34,203.377,19,100.329,14,94.458,19,104.995,17,92.695,13,92.905,9,59.801,818,3899.919
831,7,26.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32.425
832,349,"1,267.96",3,13.6,10,236.28,9,39.315,12,49.475,36,162.365,30,135.605,18,81.535,33,150.02,25,115.095,36,191.913,21,96.7,19,83.208,14,64.216,11,141.578,18,83.66,8,36.428,35,177.82,33,182.019,43,246.573,35,203.761,28,167.24,24,129.099,33,209.769,9,56.615,892,4321.848
834,48,248.88,0,0,0,0,0,0,1,6.095,0,0,2,10.8,0,0,1,5.94,2,11.98,3,18.08,5,26.94,2,12.18,2,12.06,2,10.791,3,16.805,0,0,1,5.98,0,0,4,25.509,5,35.996,4,32.395,2,17.915,3,21.81,3,20.52,93,540.676
835,158,743.011,0,0,2,10.575,2,9.51,1,4.505,4,14.975,2,8.915,1,4.505,3,13.735,6,27.28,4,19.58,1,5.98,3,16.625,3,13.77,1,51.2,1,4.48,0,0,8,43.64,4,24.756,6,31.33,4,22.68,7,41.345,4,33.81,5,35.7,1,4.35,231,1186.257
836,326,"1,485.75",5,123.94,3,13.71,5,24.18,6,31.695,2,12.08,9,53.33,7,35.93,8,40.67,6,34.485,10,56.16,8,42.081,13,64.446,5,25.713,2,10.68,7,37.731,9,49.831,6,38.83,10,61.046,10,77.34,7,39.979,14,77.735,11,81.205,14,107.281,0,0,503,2625.828
837,14,60.5,0,0,1,6.12,1,5.98,0,0,0,0,1,49.92,3,15.16,1,6.09,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,1,9.18,0,0,1,6,1,9.145,0,0,0,0,2,12.96,0,0,28,190.055
838,33,180.615,0,0,2,16.095,1,5.98,1,6.36,0,0,1,5.98,1,6,0,0,0,0,0,0,1,4.59,0,0,0,0,0,0,0,0,3,17.376,1,4.68,3,29.816,0,0,1,6.38,1,0.77,0,0,2,15.61,0,0,51,300.252
839,0,0,0,0,0,0,0,0,0,0,0,0,1,4.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99.76,0,0,0,0,0,0,0,0,0,0,1,1.855,0,0,0,0,3,106.12
840,22,101.225,4,22.84,6,28.6,4,21.1,0,0,1,4.59,0,0,1,5.98,1,4.59,0,0,1,5.94,0,0,1,4.5,0,0,4,17.73,1,2.16,0,0,2,15.12,0,0,0,0,0,0,0,0,1,6.4,3,20.24,0,0,52,261.015
841,10,29.415,1,4.59,0,0,0,0,0,0,0,0,1,6,2,10.66,0,0,1,6.095,1,6.095,0,0,0,0,0,0,1,4.578,0,0,0,0,1,6.09,2,14.685,2,4.98,2,8.125,1,6.6,0,0,0,0,1,6.867,26,114.78
845,37,189.121,1,10,0,0,1,5.985,2,7.685,2,7.355,0,0,0,0,0,0,0,0,0,0,0,0,2,135,0,0,0,0,0,0,0,0,0,0,1,7.8,0,0,1,6.6,0,0,0,0,1,4.77,0,0,48,374.316
846,17,61.17,0,0,0,0,1,6.16,2,9.01,0,0,3,38.275,0,0,1,6.095,0,0,0,0,1,5.94,1,2.04,0,0,0,0,0,0,0,0,1,6.09,0,0,0,0,2,11.07,0,0,0,0,0,0,0,0,29,145.85
847,7,144.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.12,0,0,8,150.955
850,238,"2,017.18",2,11.66,2,10.6,11,87.33,12,73.72,7,50.14,8,40.545,7,38.435,10,80.72,10,51.475,2,10.24,2,10.42,1,4.24,1,6.095,5,86.075,3,15.9,4,21.093,1,4.32,5,64.76,9,45.24,5,96.685,1,4.56,1,6.3,1,8.37,1,5.8,349,2851.903
851,35,167.445,1,6,0,0,1,6.12,1,5.83,0,0,0,0,0,0,0,0,2,11.66,1,9.54,2,11.66,1,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,224.735
852,49,343.635,1,5,0,0,1,25.5,2,10.6,2,11.1,0,0,1,21.42,1,6.12,2,11.66,2,26.83,1,5.83,1,5.83,0,0,0,0,1,4.24,2,11.88,1,40.56,1,11.6,1,7.695,1,8.37,0,0,0,0,0,0,1,6.48,71,564.35
853,0,0,0,0,1,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.65
854,7,93.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,102.915
860,67,360.096,0,0,1,4.5,3,13.5,3,15.09,0,0,0,0,3,19.635,4,18,2,8.84,2,33.45,0,0,1,4.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,477.689
861,18,106.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,106.495
862,6,70.015,0,0,0,0,0,0,0,0,1,12.75,2,19.125,0,0,0,0,1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25.92,4,41.84,0,0,0,0,17,176.15
870,"1,349","6,114.96",15,81.68,21,102.348,12,61.665,11,144.362,22,111.205,14,201.25,9,136.2,15,107.965,20,143.318,18,167.015,45,187.695,33,244.588,9,40.188,12,138.033,13,65.226,23,151.239,23,128.817,18,69.252,26,154.935,23,186.395,7,40.41,14,79.99,10,57.8,9,59.749,1771,8976.281
871,53,383.56,0,0,0,0,1,4.5,0,0,1,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,394.18
872,88,711.786,0,0,0,0,4,20.1,2,16.5,4,53.91,1,19.62,3,71.2,1,32.7,2,78.52,0,0,0,0,0,0,0,0,0,0,1,6.24,0,0,1,2.616,1,62.95,0,0,0,0,0,0,2,44.52,0,0,0,0,110,1120.662
873,9,62.5,1,4.59,0,0,2,9.09,2,10.5,0,0,1,4.578,0,0,2,12.66,5,21,5,20.668,0,0,1,6.09,1,4.578,2,5.738,1,5.886,1,6.09,2,5.81,1,6.48,2,13.44,3,17.82,0,0,3,10.86,0,0,0,0,44,228.378
874,2,44.5,1,4.59,0,0,0,0,0,0,0,0,0,0,0,0,1,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,55.21
875,20,85.583,1,4.505,2,6.71,1,4.5,1,3,3,13.68,2,9.09,0,0,0,0,1,4.5,3,11.626,4,18.058,4,18.008,1,4.65,0,0,1,4.59,2,9.228,2,9.18,6,30.258,1,4.65,2,8.8,4,22.88,0,0,1,6.48,0,0,62,279.976
880,11,153.431,0,0,0,0,2,5.1,0,0,7,17.85,0,0,1,2.55,0,0,0,0,0,0,1,49.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,228.491
881,12,107.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,107.73
885,1,7.41,0,0,0,0,0,0,0,0,0,0,0,0,3,123.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,131.17
886,8,71.7,0,0,0,0,0,0,0,0,0,0,1,59.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,131.54
1340,1,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.14
1355,1,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.02
1435,1,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.54
1460,0,0,0,0,1,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.75
1470,1,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.29,0,0,0,0,0,0,0,0,2,5.81
1475,1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.86,0,0,0,0,2,6.96
1480,2,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.88
1485,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1490,1,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.51
1495,1,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.75
1570,2,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.15
1595,2,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.14
1630,1,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
1658,1,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.04
1660,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5
1670,1,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.44
1680,2,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.38
1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.8
1715,2,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.01
1730,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
1741,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
1755,1,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.1
1765,6,15.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19.2
1790,3,41.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,115.9
1800,1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.2
1805,2,14.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.72
1830,1,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.08
1835,1,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.14
1848,1,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.04
1860,3,25.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25.42
1871,1,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.52
1875,1,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.61
1885,5,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13.29
1890,4,11.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11.38
2000,15,250.537,0,0,0,0,0,0,0,0,1,19.76,0,0,0,0,0,0,1,29.9,0,0,0,0,0,0,1,99.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34.56,0,0,26,434.507
2007,17,104.98,0,0,0,0,0,0,1,30.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,135.14
2008,38,252.145,1,0.327,0,0,0,0,1,2.55,1,4.5,0,0,4,88.526,2,15.77,1,14.3,3,156.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,534.378
2009,7,18.64,0,0,0,0,0,0,0,0,0,0,1,50.16,0,0,0,0,1,3.12,0,0,0,0,0,0,0,0,0,0,0,0,1,99.68,0,0,0,0,0,0,0,0,0,0,1,4.72,0,0,0,0,11,176.32
2010,99,354.798,0,0,0,0,1,4.77,1,2.6,0,0,1,2.52,3,10.41,0,0,1,36.57,0,0,0,0,3,108.08,0,0,0,0,2,6.96,1,3.135,1,7.56,0,0,2,19.56,1,4.62,2,27.6,1,3.96,1,3.3,0,0,120,596.443
2011,22,163.434,0,0,2,5.2,0,0,0,0,0,0,0,0,0,0,1,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,195.014
2015,106,712.642,0,0,1,21.32,0,0,2,3.655,5,149.07,1,20.28,4,15.8,2,7.72,2,44.04,0,0,2,9.08,1,3.52,2,12.22,0,0,2,39.3,1,12.15,0,0,2,102.86,2,7.6,1,3.24,1,20.35,0,0,10,34.98,0,0,147,1219.827
2016,65,149.346,0,0,4,14.54,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2.04,1,11.13,0,0,2,21.14,0,0,0,0,0,0,0,0,2,8.15,1,5.51,1,1.62,1,4.59,0,0,1,6.6,80,227.666
2017,34,313.155,0,0,0,0,0,0,1,3.75,1,3.825,1,1.75,0,0,0,0,0,0,1,19.5,0,0,1,9.81,0,0,0,0,0,0,0,0,0,0,1,79.92,0,0,1,29.7,0,0,0,0,0,0,0,0,41,461.41
2018,181,511.42,2,33.122,1,4.94,0,0,0,0,1,3.12,0,0,0,0,1,4.9,28,134.3,2,15.04,3,30.75,0,0,2,7.8,1,5.76,0,0,1,4.16,0,0,1,0.245,0,0,1,5.5,1,3.64,0,0,2,8.52,0,0,228,773.217
2019,189,"1,022.30",1,2.08,0,0,1,4.9,2,5.36,1,5,0,0,0,0,1,7.875,1,39.375,1,3.71,1,1.56,1,2.08,2,4.885,0,0,1,3.12,1,1.71,1,6.6,3,33.18,3,106.03,2,11.88,2,7.49,0,0,0,0,1,4.125,215,1273.255
2020,181,612.324,3,12.04,0,0,1,4.75,2,10.945,0,0,1,4.935,1,3,0,0,3,106.2,2,57.93,2,19.8,4,93.235,0,0,1,2.94,0,0,2,9.04,1,18.9,1,5.98,4,21.1,1,4.93,2,14.03,0,0,0,0,1,10.175,213,1012.254
2021,86,232.613,0,0,1,1.26,2,7.985,0,0,0,0,1,4.41,2,8.84,0,0,6,82.665,2,26.64,2,35.526,0,0,2,10.74,1,5.76,0,0,2,9.6,2,14.565,1,10.8,1,3.3,1,1.16,0,0,0,0,1,6.93,0,0,113,462.794
2022,133,370.62,0,0,2,8.38,0,0,0,0,2,8.24,2,19.6,1,12.48,2,74.94,1,4.9,0,0,4,17.424,1,2.289,0,0,0,0,2,8,2,11.1,2,10.42,1,5.13,2,6.58,2,8.52,2,9.99,0,0,1,10.88,0,0,162,589.493
2023,94,402.269,1,27.36,4,45.08,0,0,2,8.25,0,0,1,5.72,0,0,2,7.205,2,10.4,2,26.7,6,31.1,3,16.86,1,5,3,15.04,3,24.05,1,15.08,2,14.72,0,0,1,6.24,1,7.26,1,5.4,1,5.28,1,20.49,0,0,132,699.504
2024,174,504.255,0,0,0,0,4,12.194,1,5.1,1,3.18,1,3.025,0,0,4,41.47,3,40.085,4,13.18,2,9.32,0,0,1,42.64,3,16.231,1,7.84,3,16.3,1,5.3,1,2.88,0,0,4,17.23,7,38.505,6,35.638,0,0,2,17.995,223,832.368
2025,55,151.611,0,0,0,0,0,0,2,26.96,1,2.07,1,3.5,1,3.1,0,0,0,0,2,16.46,1,8.96,0,0,1,4.75,0,0,1,3.19,2,8.675,1,1.56,0,0,2,9.2,1,6.49,0,0,0,0,0,0,0,0,71,246.526
2026,252,700.126,3,10.02,2,10.26,1,5.88,4,16.09,2,29.72,5,29.15,2,13.3,9,30.695,3,16.08,0,0,1,4.76,2,3.64,2,11.14,3,10.32,0,0,1,3.12,5,18.97,3,16.83,2,8.94,6,30.94,2,9.39,4,24.38,3,19.89,1,8.04,318,1031.681
2027,36,153.18,1,5.1,1,18.9,0,0,1,6,1,16.38,0,0,1,4.68,1,5.886,1,14.388,1,7.02,0,0,0,0,1,8.7,1,5.13,0,0,1,2.6,0,0,0,0,0,0,0,0,1,5.5,0,0,1,4.95,0,0,49,258.414
2028,22,62.525,0,0,0,0,1,4.68,1,4.77,0,0,0,0,0,0,1,7.265,0,0,0,0,0,0,1,5,0,0,1,5.12,0,0,0,0,0,0,0,0,0,0,1,3.3,0,0,0,0,0,0,0,0,28,92.66
2029,76,287.568,0,0,1,1.5,0,0,2,16.12,0,0,0,0,1,3.12,2,8.69,0,0,1,4.68,3,15.04,1,4.64,0,0,0,0,0,0,0,0,0,0,3,14.905,1,7.02,2,8.48,2,19.03,0,0,1,2.616,0,0,96,393.409
2030,182,645.05,0,0,1,69.96,1,6.76,1,7.8,3,16.605,0,0,2,8.845,0,0,1,3.597,3,14.49,9,70.209,2,15.43,2,15.6,2,16.97,5,41.08,2,21.96,2,9.16,9,142.867,1,13.86,2,13.56,5,23.705,1,1.59,2,11.96,1,10.72,239,1181.778
